order_id,line_item_id,product_id,variant_id,qty,created_at
3654400770181,9617684594821,NULL,NULL,1,2021-03-10T17:09:50Z
3654400770181,9617684627589,NULL,NULL,1,2021-03-10T17:09:50Z
3654445367429,9617764515973,NULL,NULL,1,2021-03-10T17:45:35Z
3654445367429,9617764548741,NULL,NULL,1,2021-03-10T17:45:35Z
3654445367429,9617764581509,NULL,NULL,1,2021-03-10T17:45:35Z
3654445367429,9617764614277,NULL,NULL,1,2021-03-10T17:45:35Z
3654445367429,9617764647045,NULL,NULL,1,2021-03-10T17:45:35Z
3654445367429,9617764679813,NULL,NULL,1,2021-03-10T17:45:35Z
3654543540357,9617958273157,NULL,NULL,1,2021-03-10T19:03:54Z
3654605963397,9618089246853,NULL,NULL,1,2021-03-10T20:10:05Z
3654679429253,9618244862085,NULL,NULL,1,2021-03-10T21:26:40Z
3654721339525,9618336972933,NULL,NULL,1,2021-03-10T22:17:25Z
3654723240069,9618340085893,NULL,NULL,1,2021-03-10T22:19:34Z
3654731956357,9618358796421,NULL,NULL,1,2021-03-10T22:31:22Z
3655404224645,9619712311429,NULL,NULL,1,2021-03-11T16:08:37Z
3655404224645,9619712344197,NULL,NULL,1,2021-03-11T16:08:37Z
3655404224645,9619712376965,NULL,NULL,1,2021-03-11T16:08:37Z
3655410483333,9619725975685,NULL,NULL,1,2021-03-11T16:14:50Z
3655411269765,9619728105605,NULL,NULL,1,2021-03-11T16:15:51Z
3655418839173,9619746193541,NULL,NULL,1,2021-03-11T16:23:18Z
3655418839173,9619746226309,NULL,NULL,1,2021-03-11T16:23:18Z
3655418839173,9619746259077,NULL,NULL,1,2021-03-11T16:23:18Z
3655458783365,9619833028741,NULL,NULL,1,2021-03-11T17:06:52Z
3655458783365,9619833061509,NULL,NULL,1,2021-03-11T17:06:52Z
3655482179717,9619882180741,NULL,NULL,1,2021-03-11T17:31:23Z
3655489716357,9619900170373,NULL,NULL,1,2021-03-11T17:39:29Z
3655548174469,9620011122821,NULL,NULL,1,2021-03-11T18:28:21Z
3655548174469,9620011155589,NULL,NULL,1,2021-03-11T18:28:21Z
3655562461317,9620032913541,NULL,NULL,1,2021-03-11T18:34:54Z
3655562461317,9620032946309,NULL,NULL,1,2021-03-11T18:34:54Z
3655670792325,9620260421765,NULL,NULL,3,2021-03-11T20:26:39Z
3655687078021,9620293124229,NULL,NULL,1,2021-03-11T20:43:30Z
3655687078021,9620293156997,NULL,NULL,1,2021-03-11T20:43:30Z
3655709032581,9620340277381,NULL,NULL,1,2021-03-11T21:08:27Z
3655757529221,9620443070597,NULL,NULL,1,2021-03-11T22:03:46Z
3655763918981,9620456571013,NULL,NULL,1,2021-03-11T22:12:18Z
3656473772165,9621825224837,NULL,NULL,1,2021-03-12T15:20:11Z
3656481243269,9621840429189,NULL,NULL,1,2021-03-12T15:28:22Z
3656489828485,9621857894533,NULL,NULL,1,2021-03-12T15:37:53Z
3656491532421,9621862645893,NULL,NULL,1,2021-03-12T15:39:35Z
3656493826181,9621867135109,NULL,NULL,1,2021-03-12T15:41:30Z
3656495693957,9621870084229,NULL,NULL,1,2021-03-12T15:43:09Z
